	control_early_01	control_early_02	control_early_03	control_embryo_01	control_embryo_02	control_embryo_03	control_late_01	control_late_02	control_late_03	treatment_early_01	treatment_early_02	treatment_early_03	treatment_embryo_01	treatment_embryo_02	treatment_embryo_03	treatment_late_01	treatment_late_02	treatment_late_03
JGI_V11_313724	44.566932	78.5631	39.717452	34.957864	155.633049	158.58508	15.081498	132.857615	78.72816	71.291561	97.939673	102.047428	113.965635	129.588334	261.434345	40.145432	79.884972	20.003195
JGI_V11_313736	20.055119	7.85631	6.619575	30.296815	168.424806	129.133565	20.108664	440.090848	358.90779	54.656863	55.647541	20.409486	133.364041	46.456195	89.933415	68.483383	27.546542	32.505192
JGI_V11_313738	0.0	0.0	0.0	0.0	0.0	1.132751	0.0	0.0	0.0	0.0	0.0	3.401581	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_313741	0.0	0.0	0.0	0.0	0.0	1.132751	0.0	0.0	0.0	0.0	0.0	3.401581	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_313752	4.456693	15.71262	2.206525	147.18564	466.851898	542.391633	2.513583	193.513722	175.233268	7.129156	6.677705	0.0	467.914271	1030.540406	1302.336884	134.136321	348.849201	146.444469
JGI_V11_313753	15.598426	34.04401	8.8261	16.31367	27.715474	49.841025	12.567915	26.986703	4.631068	40.398551	51.195738	22.677206	50.920816	83.132139	81.567516	23.61496	27.546542	5.000799
JGI_V11_313754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.754654	0.0
JGI_V11_313756	211.692926	508.041379	119.152356	149.153551	311.266097	618.481813	168.410065	352.903039	338.067983	382.598042	360.596068	319.748608	375.844115	828.876325	725.741743	207.811646	250.673533	162.52596
JGI_V11_313757	4.456693	0.0	0.0	0.0	0.0	11.327506	5.027166	0.0	0.0	2.376385	0.0	0.0	0.0	7.335189	0.0	0.0	0.0	0.0
JGI_V11_313761	138.157489	348.296409	134.598031	41.949436	104.466019	122.337062	143.274234	330.068136	439.951485	273.284315	204.782952	249.449269	104.266432	200.495158	146.403233	238.511093	341.577121	172.527558
JGI_V11_313764	748.214312	1249.251496	763.274704	21.99279	67.865559	55.58596	284.522192	2093.759204	745.244346	307.967907	659.284475	605.730041	10.25613	56.353249	139.066366	919.832804	1145.633915	392.483997
